"analysis_group","pt_standard_en","pt","pt_cn","soc_en","soc_cn","cases","a","b","c","d","a_plus_b","a_plus_c","a_plus_b_plus_c_plus_d","ROR","ROR_025","ROR_975","ror_95ci_range","PRR","chi_squared","IC","IC025","expected_E","EBGM","EBGM05","is_ror_signal","is_prr_signal","is_bcpnn_signal","is_mgps_signal","is_core_ror_prr_signal","is_strict_four_algorithm_signal"
"Iodixanol","Rash generalised","Rash generalised",,,,"24","24","2245","25811","19878399","2269","25835","19906479","8.23","5.51","12.31","8.23 (5.51, 12.31)","8.16","150.76","3.03","2.62","2.9448","7.11","3.83","1","1","1","1","1","1"
"Iodixanol","Henoch-Schonlein purpura","Henoch-Schonlein purpura","过敏性紫癜","Skin and subcutaneous tissue disorders","皮肤及皮下组织类疾病","23","23","2246","1968","19902242","2269","1991","19906479","103.56","68.51","156.54","103.56 (68.51, 156.54)","102.52","2285.73","6.66","6.24","0.2269","32.33","17.34","1","1","1","1","1","1"
"Iodixanol","Cold sweat","Cold sweat","冷汗","Skin and subcutaneous tissue disorders","皮肤及皮下组织类疾病","22","22","2247","16927","19887283","2269","16949","19906479","11.5","7.56","17.51","11.50 (7.56, 17.51)","11.4","208.66","3.51","3.08","1.9319","9.25","4.94","1","1","1","1","1","1"
"Iodixanol","SHOCK","SHOCK","休克","Vascular disorders","血管与淋巴管类疾病","22","22","2247","21494","19882716","2269","21516","19906479","9.06","5.95","13.79","9.06 (5.95, 13.79)","8.98","155.99","3.17","2.74","2.4525","7.62","4.07","1","1","1","1","1","1"
"Iodixanol","Bronchospasm","Bronchospasm","支气管痉挛","Respiratory, thoracic and mediastinal disorders","呼吸系统、胸及纵隔疾病","21","21","2248","13701","19890509","2269","13722","19906479","13.56","8.82","20.85","13.56 (8.82, 20.85)","13.45","241.71","3.75","3.31","1.5641","10.42","5.54","1","1","1","1","1","1"
"Iodixanol","HEART RATE INCREASED","HEART RATE INCREASED","心率升高","Investigations","各类检查","21","21","2248","94118","19810092","2269","94139","19906479","1.97","1.28","3.02","1.97 (1.28, 3.02)","1.96","9.88","0.97","0.53","10.7302","1.91","1.02","1","0","1","0","0","0"
"Iodixanol","CONFUSIONAL STATE","CONFUSIONAL STATE","意识模糊状态","Psychiatric disorders","精神病类","21","21","2248","153776","19750434","2269","153797","19906479","1.2","0.78","1.84","1.20 (0.78, 1.84)","1.2","0.69","0.26","-0.18","17.5302","1.19","0.63","0","0","0","0","0","0"
"Iodixanol","ANAPHYLACTOID SHOCK","ANAPHYLACTOID SHOCK","类过敏性休克","Immune system disorders","免疫系统疾病","20","20","2249","441","19903769","2269","461","19906479","401.36","255.92","629.46","401.36 (255.92, 629.46)","397.83","7573.45","8.57","8.11","0.0525","37.1","19.62","1","1","1","1","1","1"
"Iodixanol","NEPHROPATHY","NEPHROPATHY","肾病","Renal and urinary disorders","肾脏及泌尿系统疾病","20","20","2249","8974","19895236","2269","8994","19906479","19.72","12.69","30.63","19.72 (12.69, 30.63)","19.55","351.41","4.29","3.84","1.0252","13.44","7.11","1","1","1","1","1","1"
"Iodixanol","Pallor","Pallor","苍白","Vascular disorders","血管与淋巴管类疾病","20","20","2249","26263","19877947","2269","26283","19906479","6.73","4.33","10.45","6.73 (4.33, 10.45)","6.68","96.65","2.74","2.29","2.9958","5.86","3.1","1","1","1","1","1","1"
