analysis_group	section	category	n	percentage
Iodixanol	Reporter country	SI	2	0.09
Iodixanol	Reporter country	TH	2	0.09
Iodixanol	Reporter country	TR	2	0.09
Iodixanol	Reporter country	UA	2	0.09
Iodixanol	Reporter country	ZA	2	0.09
Iodixanol	Reporter country	BE	1	0.04
Iodixanol	Reporter country	IE	1	0.04
Iodixanol	Reporter country	KZ	1	0.04
Iodixanol	Reporter country	LV	1	0.04
Iodixanol	Reporter country	MD	1	0.04
Iodixanol	Reporter country	MX	1	0.04
Iodixanol	Reporter country	PA	1	0.04
Iodixanol	Reporter country	PORTUGAL	1	0.04
Iodixanol	Reporter country	RU	1	0.04
Iodixanol	Reporter country	SLOVAKIA (SLOVAK REPUBLIC)	1	0.04
Iodixanol	Reporter country	THAILAND	1	0.04
Iodixanol	Reporter country	TN	1	0.04
Iodixanol	Reporter country	UKRAINE	1	0.04
Iodixanol	Reporter country	VN	1	0.04
Iodixanol	Reporter qualification	Other	884	38.96
Iodixanol	Reporter qualification	Physician	591	26.05
Iodixanol	Reporter qualification	Other health professional	507	22.34
Iodixanol	Reporter qualification	Pharmacist	272	11.99
Iodixanol	Reporter qualification	Nurse	15	0.66
